"Category","Unique"
"01/19",1
"01/20",1
"01/21",1
"01/22",0
"01/23",0
"01/24",0
"01/25",0
"01/26",0
"01/27",0
"01/28",0
"01/29",1
"01/30",0
"01/31",0
"02/01",0
