"Category","Total"
"02/08",16
"02/09",3
"02/10",1
"02/11",0
"02/12",2
"02/13",14
"02/14",0
"02/15",18
"02/16",3
"02/17",0
"02/18",4
"02/19",3
"02/20",6
"02/21",0
