"Category","Total"
"03/29",40
"03/30",0
"03/31",0
"04/01",0
"04/02",10
"04/03",0
"04/04",0
"04/05",4
"04/06",0
"04/07",0
"04/08",0
"04/09",0
"04/10",1
"04/11",0
